order_id,order_date,year,month,category,sub_category,product_name,region,state,city,sales
US-2016-118983,2016-11-22,2016,11,"Office Supplies",Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Central,Texas,"Fort Worth",68.81
CA-2015-165309,2015-11-11,2015,11,Technology,Phones,"Classic Ivory Antique Telephone ZL1810",Central,Texas,Houston,241.18
CA-2015-165309,2015-11-11,2015,11,Technology,Phones,"Geemarc AmpliPOWER60",Central,Texas,Houston,148.48
CA-2015-165309,2015-11-11,2015,11,"Office Supplies",Paper,"Xerox 1893",Central,Texas,Houston,262.34
CA-2015-165309,2015-11-11,2015,11,"Office Supplies",Paper,"Wirebound Message Book, 4 per Page",Central,Texas,Houston,21.72
CA-2015-165309,2015-11-11,2015,11,"Office Supplies",Art,"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black",Central,Texas,Houston,67.56
CA-2015-165309,2015-11-11,2015,11,"Office Supplies",Binders,"Universal Recycled Hanging Pressboard Report Binders, Letter Size",Central,Texas,Houston,1.23
CA-2015-165309,2015-11-11,2015,11,"Office Supplies",Binders,"GBC DocuBind TL300 Electric Binding System",Central,Texas,Houston,896.99
CA-2015-105893,2015-11-11,2015,11,"Office Supplies",Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72"H x 36"W x 18 1/2"D",Central,Wisconsin,Madison,665.88
CA-2015-167164,2015-05-13,2015,5,"Office Supplies",Storage,"Fellowes Super Stor/Drawer",West,Utah,"West Jordan",55.50
CA-2015-143336,2015-08-27,2015,8,"Office Supplies",Binders,"Wilson Jones Hanging View Binder, White, 1"",West,California,"San Francisco",22.72
CA-2015-143336,2015-08-27,2015,8,Technology,Phones,"Cisco SPA 501G IP Phone",West,California,"San Francisco",213.48
CA-2015-143336,2015-08-27,2015,8,"Office Supplies",Art,"Newell 341",West,California,"San Francisco",8.56
CA-2017-137330,2017-12-09,2017,12,"Office Supplies",Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",Central,Nebraska,Fremont,60.34
CA-2017-137330,2017-12-09,2017,12,"Office Supplies",Art,"Newell 318",Central,Nebraska,Fremont,19.46
CA-2017-128923,2017-12-09,2017,12,"Office Supplies",Art,"Hunt BOSTON Vista Battery-Operated Pencil Sharpener, Black",Central,Texas,"Fort Worth",9.33
CA-2017-128923,2017-12-09,2017,12,"Office Supplies",Paper,"Things To Do Today Pad",Central,Texas,"Fort Worth",9.39
US-2018-156909,2018-07-16,2018,7,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",East,Pennsylvania,Philadelphia,71.37
CA-2016-106320,2016-09-25,2016,9,Furniture,Tables,"Bretford CR4500 Series Slim Rectangular Table",West,Utah,Orem,1044.63
CA-2016-149083,2016-09-25,2016,9,Technology,Accessories,"Logitech G602 Wireless Gaming Mouse",West,Washington,Seattle,159.98
CA-2016-149083,2016-09-25,2016,9,"Office Supplies",Labels,"Permanent Self-Adhesive File Folder Labels for Typewriters, 1 1/8 x 3 1/2, White",West,Washington,Seattle,12.60
CA-2016-149083,2016-09-25,2016,9,Furniture,Chairs,"Global Super Steno Chair",West,Washington,Seattle,307.14
CA-2017-121755,2017-01-16,2017,1,Technology,Accessories,"Imation 8GB Mini TravelDrive USB 2.0 Flash Drive",West,California,"Los Angeles",90.57
CA-2017-121755,2017-01-16,2017,1,"Office Supplies",Binders,"Wilson Jones Active Use Binders",West,California,"Los Angeles",11.65
CA-2016-143077,2016-09-17,2016,9,"Office Supplies",Binders,"GBC Imprintable Covers",Central,Texas,Houston,6.59
CA-2016-143077,2016-09-17,2016,9,Furniture,Furnishings,"Howard Miller Distant Time Traveler Alarm Clock",Central,Texas,Houston,21.94
US-2016-150630,2016-09-17,2016,9,"Office Supplies",Art,"Lumber Crayons",East,Pennsylvania,Philadelphia,15.76
US-2016-150630,2016-09-17,2016,9,"Office Supplies",Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8" x 11", Executive Red",East,Pennsylvania,Philadelphia,6.86
US-2016-150630,2016-09-17,2016,9,"Office Supplies",Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",East,Pennsylvania,Philadelphia,86.30
US-2016-150630,2016-09-17,2016,9,"Office Supplies",Envelopes,"Poly String Tie Envelopes",East,Pennsylvania,Philadelphia,3.26
US-2016-150630,2016-09-17,2016,9,Furniture,Furnishings,"Howard Miller 13-3/4" Diameter Brushed Chrome Round Wall Clock",East,Pennsylvania,Philadelphia,124.20
US-2016-150630,2016-09-17,2016,9,"Office Supplies",Binders,"Avery Recycled Flexi-View Covers for Binding Systems",East,Pennsylvania,Philadelphia,9.62
US-2016-150630,2016-09-17,2016,9,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",East,Pennsylvania,Philadelphia,3083.43
CA-2016-133025,2016-09-17,2016,9,"Office Supplies",Paper,"Xerox 216",West,California,"Los Angeles",32.40
CA-2018-159457,2018-10-19,2018,10,Technology,Phones,"QVS USB Car Charger 2-Port 2.1Amp for iPod/iPhone/iPad/iPad 2/iPad 3",Central,Texas,Houston,16.68
CA-2018-107727,2018-10-19,2018,10,"Office Supplies",Paper,"Easy-staple paper",Central,Texas,Houston,29.47
CA-2017-117590,2017-12-08,2017,12,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",Central,Texas,Richardson,190.92
CA-2017-117590,2017-12-08,2017,12,Technology,Phones,"GE 30524EE4",Central,Texas,Richardson,1097.54
CA-2016-117415,2016-12-27,2016,12,Technology,Phones,"Plantronics HL10 Handset Lifter",Central,Texas,Houston,371.17
CA-2016-117415,2016-12-27,2016,12,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",Central,Texas,Houston,212.06
CA-2016-117415,2016-12-27,2016,12,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Central,Texas,Houston,532.40
CA-2016-117415,2016-12-27,2016,12,"Office Supplies",Envelopes,"#10-4 1/8" x 9 1/2" Premium Diagonal Seam Envelopes",Central,Texas,Houston,113.33
CA-2018-122280,2018-09-10,2018,9,"Office Supplies",Paper,"Rediform S.O.S. 1-Up Phone Message Bk, 4-1/4x3-1/16 Bk, 1 Form/Pg, 40 Messages/Bk, 3/Pk",East,"New York","New York City",18.76
CA-2018-120999,2018-09-10,2018,9,Technology,Phones,"Panasonic Kx-TS550",Central,Illinois,Naperville,147.17
CA-2017-116603,2017-07-17,2017,7,"Office Supplies",Appliances,"Belkin F5C206VTEL 6 Outlet Surge",East,"New York","New York City",45.96
CA-2017-101343,2017-07-17,2017,7,"Office Supplies",Storage,"Eldon Base for stackable storage shelf, platinum",West,California,"Los Angeles",77.88
CA-2018-139619,2018-09-19,2018,9,"Office Supplies",Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",South,Florida,Melbourne,95.62
CA-2018-102974,2018-09-19,2018,9,"Office Supplies",Art,"Newell 33",West,California,"Los Angeles",16.74
CA-2018-102974,2018-09-19,2018,9,"Office Supplies",Art,"Boston 16765 Mini Stand Up Battery Pencil Sharpener",West,California,"Los Angeles",23.32
CA-2018-102974,2018-09-19,2018,9,Technology,Accessories,"Microsoft Natural Ergonomic Keyboard 4000",West,California,"Los Angeles",149.95
CA-2017-118255,2017-03-11,2017,3,"Office Supplies",Binders,"Wilson Jones Leather-Like Binders with DublLock Round Rings",Central,Minnesota,Eagan,17.46
CA-2017-118255,2017-03-11,2017,3,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",Central,Minnesota,Eagan,45.98
CA-2017-122511,2017-03-11,2017,3,Furniture,Furnishings,"DAX Charcoal/Nickel-Tone Document Frame, 5 x 7",East,Pennsylvania,Philadelphia,30.34
CA-2015-146703,2015-10-20,2015,10,"Office Supplies",Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",Central,Michigan,Westland,211.96
CA-2017-169194,2017-06-20,2017,6,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",East,Delaware,Dover,21.80
CA-2017-169194,2017-06-20,2017,6,Technology,Accessories,"Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive",East,Delaware,Dover,45.00
US-2016-134271,2016-04-18,2016,4,"Office Supplies",Labels,"Avery 486",East,"New York","New York City",21.93
CA-2016-115742,2016-04-18,2016,4,Furniture,Chairs,"Global Leather Task Chair, Black",Central,Indiana,"New Albany",89.99
CA-2016-115742,2016-04-18,2016,4,Furniture,Furnishings,"Longer-Life Soft White Bulbs",Central,Indiana,"New Albany",6.16
CA-2016-115742,2016-04-18,2016,4,"Office Supplies",Labels,"Avery 485",Central,Indiana,"New Albany",75.18
CA-2016-115742,2016-04-18,2016,4,"Office Supplies",Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",Central,Indiana,"New Albany",38.22
CA-2017-105816,2017-12-11,2017,12,Technology,Phones,"AT&T CL83451 4-Handset Telephone",East,"New York","New York City",1029.95
CA-2017-105816,2017-12-11,2017,12,"Office Supplies",Fasteners,"Advantus Push Pins",East,"New York","New York City",15.26
CA-2017-111682,2017-06-17,2017,6,"Office Supplies",Art,"Prang Dustless Chalk Sticks",East,"New York",Troy,1.68
CA-2017-111682,2017-06-17,2017,6,"Office Supplies",Binders,"Plastic Binding Combs",East,"New York",Troy,48.48
CA-2017-111682,2017-06-17,2017,6,Technology,Accessories,"Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive",East,"New York",Troy,30.00
CA-2017-111682,2017-06-17,2017,6,"Office Supplies",Paper,"Array Parchment Paper, Assorted Colors",East,"New York",Troy,14.56
CA-2017-111682,2017-06-17,2017,6,Furniture,Chairs,"Novimex Turbo Task Chair",East,"New York",Troy,319.41
CA-2017-111682,2017-06-17,2017,6,"Office Supplies",Paper,"Xerox 232",East,"New York",Troy,32.40
CA-2017-111682,2017-06-17,2017,6,"Office Supplies",Storage,"Home/Office Personal File Carts",East,"New York",Troy,208.56
CA-2017-145842,2017-06-17,2017,6,"Office Supplies",Storage,"Rogers Jumbo File, Granite",East,"New York","New York City",40.74
CA-2016-135545,2016-11-24,2016,11,Furniture,Furnishings,"Luxo Economy Swing Arm Lamp",West,California,"Los Angeles",79.76
CA-2016-135545,2016-11-24,2016,11,"Office Supplies",Paper,"Xerox 1943",West,California,"Los Angeles",146.73
CA-2016-135545,2016-11-24,2016,11,"Office Supplies",Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8" X 11"",West,California,"Los Angeles",25.82
CA-2016-135545,2016-11-24,2016,11,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",West,California,"Los Angeles",13.98
CA-2016-153416,2016-11-24,2016,11,"Office Supplies",Binders,"Avery Premier Heavy-Duty Binder with Round Locking Rings",West,California,"Los Angeles",91.39
CA-2016-153416,2016-11-24,2016,11,"Office Supplies",Storage,"Fellowes Bankers Box Staxonsteel Drawer File/Stacking System",West,California,"Los Angeles",454.86
CA-2016-153416,2016-11-24,2016,11,"Office Supplies",Paper,"Xerox 225",West,California,"Los Angeles",19.44
CA-2016-153416,2016-11-24,2016,11,"Office Supplies",Binders,"Avery Reinforcements for Hole-Punch Pages",West,California,"Los Angeles",3.17
CA-2015-150203,2015-12-05,2015,12,"Office Supplies",Appliances,"Fellowes 8 Outlet Superior Workstation Surge Protector",West,California,"Los Angeles",250.26
CA-2018-108931,2018-09-14,2018,9,"Office Supplies",Paper,"Xerox 1987",East,"New York","New York City",11.56
CA-2018-108931,2018-09-14,2018,9,"Office Supplies",Paper,"Xerox 1980",East,"New York","New York City",8.56
CA-2018-156237,2018-09-14,2018,9,Technology,Machines,"Lexmark MarkNet N8150 Wireless Print Server",East,Pennsylvania,Philadelphia,241.17
CA-2018-156237,2018-09-14,2018,9,Furniture,Furnishings,"Tensor Track Tree Floor Lamp",East,Pennsylvania,Philadelphia,127.94
CA-2018-156237,2018-09-14,2018,9,"Office Supplies",Binders,"Aluminum Screw Posts",East,Pennsylvania,Philadelphia,18.31
CA-2018-156237,2018-09-14,2018,9,Furniture,Chairs,"Office Star - Ergonomically Designed Knee Chair",East,Pennsylvania,Philadelphia,113.37
CA-2018-156237,2018-09-14,2018,9,Technology,Machines,"Ricoh - Ink Collector Unit for GX3000 Series Printers",East,Pennsylvania,Philadelphia,12.59
CA-2018-156237,2018-09-14,2018,9,"Office Supplies",Binders,"GBC Instant Report Kit",East,Pennsylvania,Philadelphia,3.88
US-2018-118038,2018-12-09,2018,12,"Office Supplies",Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",Central,Texas,Houston,27.24
US-2018-118038,2018-12-09,2018,12,Furniture,Furnishings,"6" Cubicle Wall Clock, Black",Central,Texas,Houston,9.71
US-2018-118038,2018-12-09,2018,12,"Office Supplies",Binders,"Economy Binders",Central,Texas,Houston,1.25
US-2015-147648,2015-11-26,2015,11,"Office Supplies",Paper,"Xerox 1893",West,California,"San Francisco",81.98
US-2018-124926,2018-11-13,2018,11,"Office Supplies",Appliances,"Hoover Commercial Soft Guard Upright Vacuum And Disposable Filtration Bags",Central,Texas,Houston,9.32
CA-2018-122490,2018-11-13,2018,11,"Office Supplies",Labels,"Avery File Folder Labels",West,Washington,Seattle,8.64
CA-2018-122490,2018-11-13,2018,11,"Office Supplies",Storage,"Space Solutions HD Industrial Steel Shelving.",West,Washington,Seattle,344.91
CA-2018-122490,2018-11-13,2018,11,"Office Supplies",Binders,"GBC DocuBind P50 Personal Binding Machine",West,Washington,Seattle,563.02
CA-2018-122490,2018-11-13,2018,11,Furniture,Chairs,"Global Troy Executive Leather Low-Back Tilter",West,Washington,Seattle,2404.70
CA-2017-159695,2017-04-05,2017,4,"Office Supplies",Storage,"Eldon Portable Mobile Manager",Central,Texas,Houston,158.37
CA-2017-161907,2017-04-05,2017,4,"Office Supplies",Supplies,"Premier Automatic Letter Opener",East,Pennsylvania,Philadelphia,769.18
CA-2017-161907,2017-04-05,2017,4,Technology,Phones,"Clearsounds A400",East,Pennsylvania,Philadelphia,118.78
CA-2017-159730,2017-09-17,2017,9,Technology,Phones,"Clarity 53712",West,Washington,Seattle,105.58
CA-2017-159730,2017-09-17,2017,9,Furniture,Chairs,"Harbour Creations 67200 Series Stacking Chairs",West,Washington,Seattle,113.89
CA-2017-109806,2017-09-17,2017,9,"Office Supplies",Paper,"Xerox 1995",West,California,"Los Angeles",6.48
CA-2017-109806,2017-09-17,2017,9,Technology,Phones,"Panasonic Kx-TS550",West,California,"Los Angeles",73.58
CA-2017-109806,2017-09-17,2017,9,"Office Supplies",Art,"Turquoise Lead Holder with Pocket Clip",West,California,"Los Angeles",20.10
CA-2018-165323,2018-06-17,2018,6,Technology,Accessories,"Kingston Digital DataTraveler 64GB USB 2.0",East,"New York","New York City",101.34
CA-2018-165323,2018-06-17,2018,6,Technology,Machines,"Hewlett-Packard Desktjet 6988DT Refurbished Printer",East,"New York","New York City",3404.50
CA-2017-128727,2017-08-29,2017,8,Technology,Phones,"Samsung Replacement EH64AVFWE Premium Headset",East,"New York","New York City",22.00
CA-2016-130183,2016-11-13,2016,11,Furniture,Bookcases,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",Central,Texas,Houston,614.00
CA-2017-109365,2017-11-03,2017,11,"Office Supplies",Paper,"Multicolor Computer Printout Paper",West,California,"Los Angeles",314.55
CA-2017-109365,2017-11-03,2017,11,"Office Supplies",Paper,"Xerox 1952",West,California,"Los Angeles",19.44
CA-2017-109365,2017-11-03,2017,11,"Office Supplies",Binders,"Fellowes Black Plastic Comb Bindings",West,California,"Los Angeles",9.30
CA-2017-109365,2017-11-03,2017,11,"Office Supplies",Paper,"Xerox 1892",West,California,"Los Angeles",116.28
CA-2017-109365,2017-11-03,2017,11,"Office Supplies",Binders,"Avery Durable Plastic 1" Binders",West,California,"Los Angeles",43.58
CA-2017-109365,2017-11-03,2017,11,"Office Supplies",Appliances,"Holmes 99% HEPA Air Purifier",West,California,"Los Angeles",43.32
CA-2017-109365,2017-11-03,2017,11,"Office Supplies",Fasteners,"Stockwell Push Pins",West,California,"Los Angeles",15.26
CA-2017-114972,2017-11-03,2017,11,"Office Supplies",Appliances,"Honeywell Enviracaire Portable HEPA Air Cleaner for 16' x 20' Room",West,California,"Los Angeles",1101.48
CA-2017-114972,2017-11-03,2017,11,"Office Supplies",Labels,"Avery 50",West,California,"Los Angeles",87.71
CA-2017-114972,2017-11-03,2017,11,Technology,Accessories,"Kensington K72356US Mouse-in-a-Box USB Desktop Mouse",West,California,"Los Angeles",82.95
CA-2017-114972,2017-11-03,2017,11,Furniture,Chairs,"Global Deluxe High-Back Office Chair in Storm",West,California,"Los Angeles",217.58
CA-2017-168893,2017-11-03,2017,11,Furniture,Tables,"Global Adaptabilities Conference Tables",South,Kentucky,Henderson,842.94
CA-2017-168893,2017-11-03,2017,11,"Office Supplies",Art,"Boston 16750 Black Compact Battery Pencil Sharpener",South,Kentucky,Henderson,8.75
CA-2017-168893,2017-11-03,2017,11,Furniture,Furnishings,"Magna Visual Magnetic Picture Hangers",South,Kentucky,Henderson,24.10
CA-2017-168893,2017-11-03,2017,11,"Office Supplies",Art,"Economy #2 Pencils",South,Kentucky,Henderson,7.98
CA-2017-168893,2017-11-03,2017,11,"Office Supplies",Fasteners,"Advantus Plastic Paper Clips",South,Kentucky,Henderson,20.00
CA-2015-103660,2015-08-25,2015,8,Technology,Phones,"Polycom VVX 310 VoIP phone",West,Washington,Seattle,1007.94
CA-2015-104178,2015-08-25,2015,8,"Office Supplies",Storage,"Portable Personal File Box",West,California,"Los Angeles",48.84
CA-2015-104178,2015-08-25,2015,8,"Office Supplies",Paper,"Xerox 23",West,California,"Los Angeles",25.92
CA-2015-104178,2015-08-25,2015,8,Technology,Accessories,"SanDisk Cruzer 32 GB USB Flash Drive",West,California,"Los Angeles",95.10
CA-2015-104178,2015-08-25,2015,8,Furniture,Furnishings,"Eldon 200 Class Desk Accessories, Smoke",West,California,"Los Angeles",6.28
CA-2016-110457,2016-03-02,2016,3,Furniture,Tables,"Hon Racetrack Conference Tables",West,Washington,Seattle,787.53
CA-2016-161452,2016-04-05,2016,4,Furniture,Chairs,"GuestStacker Chair with Chrome Finish Legs",West,California,"Los Angeles",892.22
US-2015-152030,2015-12-26,2015,12,Furniture,Chairs,"Global Deluxe High-Back Manager's Chair",Central,Texas,Houston,600.56
CA-2015-101427,2015-12-26,2015,12,"Office Supplies",Art,"Eldon Spacemaker Box, Quick-Snap Lid, Clear",East,Pennsylvania,Philadelphia,8.02
CA-2018-102925,2018-11-05,2018,11,Furniture,Furnishings,"Career Cubicle Clock, 8 1/4", Black",East,"New York","New York City",101.40
CA-2018-102925,2018-11-05,2018,11,Furniture,Chairs,"Harbour Creations 67200 Series Stacking Chairs",East,"New York","New York City",128.12
CA-2018-102925,2018-11-05,2018,11,"Office Supplies",Binders,"Avery Premier Heavy-Duty Binder with Round Locking Rings",East,"New York","New York City",11.42
CA-2018-102925,2018-11-05,2018,11,Technology,Phones,"Anker Astro 15000mAh USB Portable Charger",East,"New York","New York City",99.98
CA-2018-102925,2018-11-05,2018,11,"Office Supplies",Paper,"Eaton Premium Continuous-Feed Paper, 25% Cotton, Letter Size, White, 1000 Shts/Box",East,"New York","New York City",110.96
CA-2018-102925,2018-11-05,2018,11,"Office Supplies",Paper,"Xerox 202",East,"New York","New York City",12.96
CA-2018-102925,2018-11-05,2018,11,Furniture,Tables,"Balt Split Level Computer Training Table",East,"New York","New York City",166.50
CA-2018-102925,2018-11-05,2018,11,"Office Supplies",Binders,"GBC Prestige Therm-A-Bind Covers",East,"New York","New York City",164.69
US-2017-125969,2017-11-06,2017,11,Furniture,Furnishings,"Eldon Cleatmat Plus Chair Mats for High Pile Carpets",West,California,"Los Angeles",238.56
US-2017-125969,2017-11-06,2017,11,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",West,California,"Los Angeles",81.42
CA-2017-101161,2017-10-13,2017,10,Furniture,Furnishings,"Howard Miller Distant Time Traveler Alarm Clock",East,"New York","New York City",82.26
CA-2017-101161,2017-10-13,2017,10,"Office Supplies",Labels,"Avery White Multi-Purpose Labels",East,"New York","New York City",24.90
CA-2017-101161,2017-10-13,2017,10,"Office Supplies",Paper,"Computer Printout Paper with Letter-Trim Perforations",East,"New York","New York City",37.94
CA-2017-101161,2017-10-13,2017,10,"Office Supplies",Storage,"Fellowes Bases and Tops For Staxonsteel/High-Stak Systems",East,"New York","New York City",99.87
CA-2017-101161,2017-10-13,2017,10,"Office Supplies",Art,"BIC Liqua Brite Liner",East,"New York","New York City",34.70
CA-2017-110366,2017-09-05,2017,9,Furniture,Furnishings,"Howard Miller 13-3/4" Diameter Brushed Chrome Round Wall Clock",East,Pennsylvania,Philadelphia,82.80
CA-2018-104927,2018-12-22,2018,12,"Office Supplies",Paper,"Xerox 1887",Central,Texas,Houston,75.88
CA-2018-104927,2018-12-22,2018,12,"Office Supplies",Binders,"Cardinal HOLDit! Binder Insert Strips,Extra Strips",Central,Texas,Houston,6.33
CA-2018-104927,2018-12-22,2018,12,"Office Supplies",Paper,"Xerox 1931",Central,Texas,Houston,25.92
CA-2017-136301,2017-03-13,2017,3,"Office Supplies",Supplies,"High Speed Automatic Electric Letter Opener",West,California,"San Francisco",4912.59
CA-2017-136301,2017-03-13,2017,3,Furniture,Furnishings,"Westinghouse Mesh Shade Clip-On Gooseneck Lamp, Black",West,California,"San Francisco",28.28
CA-2016-147788,2016-05-31,2016,5,"Office Supplies",Storage,"Fellowes Super Stor/Drawer Files",West,Utah,Orem,323.10
CA-2016-147788,2016-05-31,2016,5,"Office Supplies",Labels,"Self-Adhesive Removable Labels",West,Utah,Orem,15.75
CA-2016-147788,2016-05-31,2016,5,Furniture,Bookcases,"O'Sullivan Living Dimensions 3-Shelf Bookcases",West,Utah,Orem,1406.86
CA-2017-107790,2017-11-20,2017,11,Technology,Phones,"Wireless Extenders zBoost YX545 SOHO Signal Booster",Central,Texas,Houston,151.19
US-2017-127971,2017-11-20,2017,11,Furniture,Furnishings,"Eldon Wave Desk Accessories",Central,Texas,Houston,7.07
US-2017-127971,2017-11-20,2017,11,Technology,Phones,"Samsung HM1900 Bluetooth Headset",Central,Texas,Houston,122.92
US-2017-127971,2017-11-20,2017,11,Furniture,Chairs,"Global Wood Trimmed Manager's Task Chair, Khaki",Central,Texas,Houston,318.43
CA-2017-161669,2017-11-07,2017,11,"Office Supplies",Labels,"Avery 486",West,California,"Los Angeles",14.62
CA-2017-161669,2017-11-07,2017,11,"Office Supplies",Supplies,"Acme Preferred Stainless Steel Scissors",West,California,"Los Angeles",11.36
CA-2017-161669,2017-11-07,2017,11,"Office Supplies",Binders,"Ibico Plastic and Wire Spiral Binding Combs",West,California,"Los Angeles",26.98
CA-2017-161669,2017-11-07,2017,11,"Office Supplies",Binders,"Fellowes Binding Cases",West,California,"Los Angeles",37.44
CA-2015-140032,2015-09-08,2015,9,"Office Supplies",Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Light Blue, 9 1/2" X 11"",West,California,"San Francisco",8.61
CA-2015-118962,2015-08-05,2015,8,Furniture,Chairs,"Global Value Steno Chair, Gray",West,California,"Los Angeles",340.14
CA-2015-118962,2015-08-05,2015,8,"Office Supplies",Paper,"Xerox 1913",West,California,"Los Angeles",110.96
CA-2015-118962,2015-08-05,2015,8,"Office Supplies",Paper,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",West,California,"Los Angeles",20.94
US-2018-145863,2018-04-21,2018,4,"Office Supplies",Binders,"UniKeep View Case Binders",Central,Texas,Houston,2.93
US-2018-145863,2018-04-21,2018,4,"Office Supplies",Binders,"Avery Non-Stick Binders",Central,Texas,Houston,2.69
CA-2018-166198,2018-04-21,2018,4,Furniture,Furnishings,"Eldon Advantage Foldable Chair Mats for Low Pile Carpets",West,Washington,Seattle,162.60
CA-2018-166198,2018-04-21,2018,4,Technology,Accessories,"Verbatim Slim CD and DVD Storage Cases, 50/Pack",West,Washington,Seattle,11.54
CA-2016-107083,2016-11-21,2016,11,"Office Supplies",Binders,"Cardinal Hold-It CD Pocket",Central,Texas,"Fort Worth",7.98
CA-2016-107083,2016-11-21,2016,11,"Office Supplies",Appliances,"Kensington 6 Outlet SmartSocket Surge Protector",Central,Texas,"Fort Worth",24.59
CA-2016-107083,2016-11-21,2016,11,"Office Supplies",Binders,"Storex DuraTech Recycled Plastic Frosted Binders",Central,Texas,"Fort Worth",1.70
CA-2016-107083,2016-11-21,2016,11,"Office Supplies",Art,"Eldon Spacemaker Box, Quick-Snap Lid, Clear",Central,Texas,"Fort Worth",5.34
CA-2017-127243,2017-11-28,2017,11,Furniture,Chairs,"Situations Contoured Folding Chairs, 4/Set",East,Pennsylvania,Philadelphia,347.80
CA-2017-127243,2017-11-28,2017,11,"Office Supplies",Storage,"Tennsco Commercial Shelving",East,Pennsylvania,Philadelphia,32.54
